Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,
2021-03-25,20:45 (15:45),WCQ,First round,Thu,Away,D,3,3,hu Hungary,,,64,,Robert Lewandowski,4-4-2,Felix Brych,
2021-03-28,20:45 (14:45),WCQ,First round,Sun,Home,W,3,0,ad Andorra,,,85,,Robert Lewandowski,4-4-2,Erik Lambrechts,
2021-03-31,19:45 (14:45),WCQ,First round,Wed,Away,L,1,2,eng England,,,37,,Kamil Glik,3-4-3,Björn Kuipers,
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Home,W,4,1,al Albania,,,49,38254,Robert Lewandowski,4-4-2,Maurizio Mariani,
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Away,W,7,1,sm San Marino,,,76,500,Robert Lewandowski,4-4-2,Mattias Gestranius,
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Home,D,1,1,eng England,,,37,56212,Robert Lewandowski,4-4-2,Daniel Siebert,
2021-10-09,20:45 (14:45),WCQ,First round,Sat,Home,W,5,0,sm San Marino,,,83,56128,Robert Lewandowski,4-4-2,Fran Jović,
2021-10-12,20:45 (14:45),WCQ,First round,Tue,Away,W,1,0,al Albania,,,60,21000,Robert Lewandowski,4-4-2,Clément Turpin,
2021-11-12,20:45 (14:45),WCQ,First round,Fri,Away,W,4,1,ad Andorra,,,79,1049,Robert Lewandowski,3-4-1-2,John Beaton,
2021-11-15,20:45 (14:45),WCQ,First round,Mon,Home,L,1,2,hu Hungary,,,63,,Wojciech Szczęsny,4-4-2,Tiago Martins,
2022-03-24,19:45 (15:45),Friendlies (M),Friendlies (M),Thu,Neutral,D,1,1,sct Scotland,,,,,Kamil Glik,3-4-3,Robert Hennessy,
2022-03-29,20:45 (14:45),WCQ,Finals,Tue,Home,W,2,0,se Sweden,,,39,54078,Robert Lewandowski,3-4-3,Daniele Orsato,
2022-06-01,18:00 (12:00),UEFA Nations League,League A,Wed,Home,W,2,1,wls Wales,,,55,35214,Robert Lewandowski,4-3-1-2,Rade Obrenović,
2022-06-08,20:45 (14:45),UEFA Nations League,League A,Wed,Away,L,1,6,be Belgium,,,34,27409,Robert Lewandowski,4-2-3-1,Ivan Kružliak,
2022-06-11,20:45 (14:45),UEFA Nations League,League A,Sat,Away,D,2,2,nl Netherlands,,,32,39382,Grzegorz Krychowiak,4-4-2,Halil Umut Meler,
2022-06-14,20:45 (14:45),UEFA Nations League,League A,Tue,Home,L,0,1,be Belgium,,,31,58803,Robert Lewandowski,4-4-2,Irfan Peljto,
2022-09-22,20:45 (14:45),UEFA Nations League,League A,Thu,Home,L,0,2,nl Netherlands,,,42,56673,Robert Lewandowski,3-4-3,Alejandro Hernández,
2022-09-25,19:45 (14:45),UEFA Nations League,League A,Sun,Away,W,1,0,wls Wales,,,48,31520,Robert Lewandowski,3-4-3,Andris Treimanis,
2022-11-16,18:00 (12:00),Friendlies (M),Friendlies (M),Wed,Neutral,W,1,0,cl Chile,,,,27968,Kamil Glik,3-5-2,Harm Osmers,
2022-11-22,19:00 (11:00),World Cup,Group stage,Tue,Neutral,D,0,0,mx Mexico,0.9,0.7,40,39369,Robert Lewandowski,4-1-4-1,Chris Beath,
2022-11-26,16:00 (08:00),World Cup,Group stage,Sat,Neutral,W,2,0,sa Saudi Arabia,1.6,1.7,37,44259,Robert Lewandowski,4-4-2,Wilton Sampaio,
2022-11-30,22:00 (14:00),World Cup,Group stage,Wed,Neutral,L,0,2,ar Argentina,0.3,3.5,27,44089,Robert Lewandowski,4-4-2,Danny Makkelie,
2019-03-21,20:45 (15:45),UEFA Euro Qualifying,Group stage,Thu,Away,W,1,0,at Austria,,,42,40400,Robert Lewandowski,4-4-2,Anastasios Sidiropoulos,
2019-03-24,20:45 (15:45),UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,lv Latvia,,,72,51112,Robert Lewandowski,4-4-2,Aghayev Aliyev,
2019-06-07,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,mk N. Macedonia,,,52,22000,Robert Lewandowski,4-2-3-1,Gianluca Rocchi,
2019-06-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,il Israel,,,48,57229,Robert Lewandowski,4-4-2,Tobias Stieler,
2019-09-06,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,L,0,2,si Slovenia,,,65,15231,Robert Lewandowski,4-4-2,Sergey Karasev,
2019-09-09,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,D,0,0,at Austria,,,35,56788,Robert Lewandowski,4-4-2,Viktor Kassai,
2019-10-10,21:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Away,W,3,0,lv Latvia,,,65,7107,Robert Lewandowski,4-2-3-1,Halis Özkahya,
2019-10-13,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,mk N. Macedonia,,,64,52894,Robert Lewandowski,4-2-3-1,Antonio Matéu Lahoz,
2019-11-16,21:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Away,W,2,1,il Israel,,,48,16700,Kamil Glik,4-2-3-1,Mattias Gestranius,
2019-11-19,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Home,W,3,2,si Slovenia,,,59,53946,Robert Lewandowski,4-2-3-1,Daniel Siebert,
2021-03-25,20:45 (15:45),WCQ,First round,Thu,Away,D,3,3,hu Hungary,,,64,,Robert Lewandowski,4-4-2,Felix Brych,
2021-03-28,20:45 (14:45),WCQ,First round,Sun,Home,W,3,0,ad Andorra,,,85,,Robert Lewandowski,4-4-2,Erik Lambrechts,
2021-03-31,19:45 (14:45),WCQ,First round,Wed,Away,L,1,2,eng England,,,37,,Kamil Glik,3-4-3,Björn Kuipers,
2021-06-01,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,ru Russia,,,,,Grzegorz Krychowiak,4-2-2-2,Marco Guida,
2021-06-08,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Home,D,2,2,is Iceland,,,,,Robert Lewandowski,4-2-2-2,Balázs Berke,
2021-06-14,17:00 (12:00),UEFA Euro,Group stage,Mon,Neutral,L,1,2,sk Slovakia,1.4,0.4,58,12862,Robert Lewandowski,3-1-4-2,Ovidiu Hațegan,
2021-06-19,21:00 (15:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,es Spain,1.3,2.9,24,11742,Robert Lewandowski,3-5-2,Daniele Orsato,
2021-06-23,17:00 (12:00),UEFA Euro,Group stage,Wed,Neutral,L,2,3,se Sweden,1.9,1.1,66,14252,Robert Lewandowski,3-4-1-2,Michael Oliver,
2021-09-02,20:45 (14:45),WCQ,First round,Thu,Home,W,4,1,al Albania,,,49,38254,Robert Lewandowski,4-4-2,Maurizio Mariani,
2021-09-05,20:45 (14:45),WCQ,First round,Sun,Away,W,7,1,sm San Marino,,,76,500,Robert Lewandowski,4-4-2,Mattias Gestranius,
2021-09-08,20:45 (14:45),WCQ,First round,Wed,Home,D,1,1,eng England,,,37,56212,Robert Lewandowski,4-4-2,Daniel Siebert,
2021-10-09,20:45 (14:45),WCQ,First round,Sat,Home,W,5,0,sm San Marino,,,83,56128,Robert Lewandowski,4-4-2,Fran Jović,
2021-10-12,20:45 (14:45),WCQ,First round,Tue,Away,W,1,0,al Albania,,,60,21000,Robert Lewandowski,4-4-2,Clément Turpin,
2021-11-12,20:45 (14:45),WCQ,First round,Fri,Away,W,4,1,ad Andorra,,,79,1049,Robert Lewandowski,3-4-1-2,John Beaton,
2021-11-15,20:45 (14:45),WCQ,First round,Mon,Home,L,1,2,hu Hungary,,,63,,Wojciech Szczęsny,4-4-2,Tiago Martins,
2020-09-04,20:45 (14:45),UEFA Nations League,League A,Fri,Away,L,0,1,nl Netherlands,,,36,,Kamil Glik,4-4-1-1,Georgi Kabakov,
2020-09-07,20:45 (14:45),UEFA Nations League,League A,Mon,Away,W,2,1,ba Bosnia & Herz'na,,,55,,Kamil Glik,4-2-3-1,Cüneyt Çakιr,
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,5,1,fi Finland,,,,,Kamil Grosicki,4-4-2,Michal Ocenas,
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Home,D,0,0,it Italy,,,39,9200,Robert Lewandowski,4-2-3-1,José Sánchez,
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Home,W,3,0,ba Bosnia & Herz'na,,,65,8152,Robert Lewandowski,4-2-3-1,Craig Pawson,
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,2,0,ua Ukraine,,,,,Arkadiusz Milik,4-2-2-2,Manuel Schüttengruber,
2020-11-15,20:45 (14:45),UEFA Nations League,League A,Sun,Away,L,0,2,it Italy,,,38,,Robert Lewandowski,4-2-3-1,Clément Turpin,
2020-11-18,20:45 (14:45),UEFA Nations League,League A,Wed,Home,L,1,2,nl Netherlands,,,46,,Robert Lewandowski,4-2-3-1,Orel Grinfeeld,
2021-03-25,20:45 (15:45),WCQ,First round,Thu,Away,D,3,3,hu Hungary,,,64,,Robert Lewandowski,4-4-2,Felix Brych,
2021-03-28,20:45 (14:45),WCQ,First round,Sun,Home,W,3,0,ad Andorra,,,85,,Robert Lewandowski,4-4-2,Erik Lambrechts,
2021-03-31,19:45 (14:45),WCQ,First round,Wed,Away,L,1,2,eng England,,,37,,Kamil Glik,3-4-3,Björn Kuipers,
2021-06-01,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,ru Russia,,,,,Grzegorz Krychowiak,4-2-2-2,Marco Guida,
2021-06-08,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Home,D,2,2,is Iceland,,,,,Robert Lewandowski,4-2-2-2,Balázs Berke,
2021-06-14,17:00 (12:00),UEFA Euro,Group stage,Mon,Neutral,L,1,2,sk Slovakia,,,58,12862,Robert Lewandowski,3-1-4-2,Ovidiu Hațegan,
2021-06-19,21:00 (15:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,es Spain,,,24,11742,Robert Lewandowski,3-5-2,Daniele Orsato,
2021-06-23,17:00 (12:00),UEFA Euro,Group stage,Wed,Neutral,L,2,3,se Sweden,,,66,14252,Robert Lewandowski,3-4-1-2,Michael Oliver,
2020-09-04,20:45 (14:45),UEFA Nations League,League A,Fri,Away,L,0,1,nl Netherlands,,,36,,Kamil Glik,4-4-1-1,Georgi Kabakov,
2020-09-07,20:45 (14:45),UEFA Nations League,League A,Mon,Away,W,2,1,ba Bosnia & Herz'na,,,55,,Kamil Glik,4-2-3-1,Cüneyt Çakιr,
2020-10-07,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,5,1,fi Finland,,,,,Kamil Grosicki,4-4-2,Michal Ocenas,
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Home,D,0,0,it Italy,,,39,9200,Robert Lewandowski,4-2-3-1,José Sánchez,
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Home,W,3,0,ba Bosnia & Herz'na,,,65,8152,Robert Lewandowski,4-2-3-1,Craig Pawson,
2020-11-11,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,2,0,ua Ukraine,,,,,Arkadiusz Milik,4-2-2-2,Manuel Schüttengruber,
2020-11-15,20:45 (14:45),UEFA Nations League,League A,Sun,Away,L,0,2,it Italy,,,38,,Robert Lewandowski,4-2-3-1,Clément Turpin,
2020-11-18,20:45 (14:45),UEFA Nations League,League A,Wed,Home,L,1,2,nl Netherlands,,,46,,Robert Lewandowski,4-2-3-1,Orel Grinfeeld,
2018-09-07,20:45 (14:45),UEFA Nations League,League A,Fri,Away,D,1,1,it Italy,,,,24000,Robert Lewandowski,4-4-1-1,Felix Zwayer,
2018-09-11,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,ie Rep. of Ireland,,,,25455,Kamil Glik,4-2-2-2,Boris Marhefka,
2018-10-11,20:45 (14:45),UEFA Nations League,League A,Thu,Home,L,2,3,pt Portugal,,,,48783,Robert Lewandowski,4-4-2,Juan Martínez,
2018-10-14,20:45 (14:45),UEFA Nations League,League A,Sun,Home,L,0,1,it Italy,,,,41692,Robert Lewandowski,4-3-1-2,Matej Jug,
2018-11-15,18:00 (12:00),Friendlies (M),Friendlies (M),Thu,Home,L,0,1,cz Czech Republic,,,,34783,Robert Lewandowski,4-4-1-1,Stephan Klossner,
2018-11-20,19:45 (14:45),UEFA Nations League,League A,Tue,Away,D,1,1,pt Portugal,,,,29917,Kamil Grosicki,4-2-3-1,Sergey Karasev,
2019-03-21,20:45 (15:45),UEFA Euro Qualifying,Group stage,Thu,Away,W,1,0,at Austria,,,42,40400,Robert Lewandowski,4-4-2,Anastasios Sidiropoulos,
2019-03-24,20:45 (15:45),UEFA Euro Qualifying,Group stage,Sun,Home,W,2,0,lv Latvia,,,72,51112,Robert Lewandowski,4-4-2,Aghayev Aliyev,
2019-06-07,20:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,mk N. Macedonia,,,52,22000,Robert Lewandowski,4-2-3-1,Gianluca Rocchi,
2019-06-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,il Israel,,,48,57229,Robert Lewandowski,4-4-2,Tobias Stieler,
2016-09-04,22:00 (12:00),WCQ,First round,Sun,Away,D,2,2,kz Kazakhstan,,,,19905,Robert Lewandowski,4-4-2,Serdar Gözübüyük,
2016-10-08,20:45 (14:45),WCQ,First round,Sat,Home,W,3,2,dk Denmark,,,,56811,Robert Lewandowski,4-4-2,Gianluca Rocchi,
2016-10-11,20:45 (14:45),WCQ,First round,Tue,Home,W,2,1,am Armenia,,,,44786,Robert Lewandowski,4-2-2-2,Ivan Kružliak,
2016-11-11,21:45 (14:45),WCQ,First round,Fri,Away,W,3,0,ro Romania,,,,48531,Robert Lewandowski,4-1-4-1,Damir Skomina,
2017-03-26,20:45 (14:45),WCQ,First round,Sun,Away,W,2,1,me Montenegro,,,,10439,Robert Lewandowski,4-3-2-1,Viktor Kassai,
2017-06-10,20:45 (14:45),WCQ,First round,Sat,Home,W,3,1,ro Romania,,,,57128,Robert Lewandowski,4-4-2,Ruddy Buquet,
2017-09-01,20:45 (14:45),WCQ,First round,Fri,Away,L,0,4,dk Denmark,,,,34505,Robert Lewandowski,4-4-1-1,Milorad Mažić,
2017-09-04,20:45 (14:45),WCQ,First round,Mon,Home,W,3,0,kz Kazakhstan,,,,56963,Robert Lewandowski,4-4-2,Andris Treimanis,
2017-10-05,20:00 (12:00),WCQ,First round,Thu,Away,W,6,1,am Armenia,,,,5478,Robert Lewandowski,4-2-3-1,Matej Jug,
