Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,
2017-10-08,18:00 (12:00),WCQ,First round,Sun,Home,W,4,2,me Montenegro,,,,57538,Robert Lewandowski,4-4-1-1,Daniele Orsato,
2018-03-23,20:45 (15:45),Friendlies (M),Friendlies (M),Fri,Home,L,0,1,ng Nigeria,,,,41208,Robert Lewandowski,3-4-3,Michael Oliver,
2018-03-27,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,W,3,2,kr Korea Republic,,,,53129,Robert Lewandowski,3-4-3,Tore Hansen,
2018-06-08,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,D,2,2,cl Chile,,,,41216,Robert Lewandowski,4-2-3-1,Paolo Mazzoleni,
2018-06-12,18:00 (12:00),Friendlies (M),Friendlies (M),Tue,Home,W,4,0,lt Lithuania,,,,53803,Robert Lewandowski,3-4-3,Kevin Blom,
2018-06-19,18:00 (11:00),FIFA World Cup,Group stage,Tue,Neutral,L,1,2,sn Senegal,0.8,1.0,61,44190,Robert Lewandowski,4-2-3-1,Nawaf Shukralla,
2018-06-24,21:00 (14:00),FIFA World Cup,Group stage,Sun,Neutral,L,0,3,co Colombia,1.1,2.1,45,42873,Robert Lewandowski,3-4-3,César Arturo Ramos,
2018-06-28,17:00 (10:00),FIFA World Cup,Group stage,Thu,Neutral,W,1,0,jp Japan,1.4,0.7,46,42189,Robert Lewandowski,4-2-3-1,Janny Sikazwe,
2018-09-07,20:45 (14:45),UEFA Nations League,League A,Fri,Away,D,1,1,it Italy,,,,24000,Robert Lewandowski,4-4-1-1,Felix Zwayer,
2018-09-11,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,ie Rep. of Ireland,,,,25455,Kamil Glik,4-2-2-2,Boris Marhefka,
2018-10-11,20:45 (14:45),UEFA Nations League,League A,Thu,Home,L,2,3,pt Portugal,,,,48783,Robert Lewandowski,4-4-2,Juan Martínez,
2018-10-14,20:45 (14:45),UEFA Nations League,League A,Sun,Home,L,0,1,it Italy,,,,41692,Robert Lewandowski,4-3-1-2,Matej Jug,
2018-11-15,18:00 (12:00),Friendlies (M),Friendlies (M),Thu,Home,L,0,1,cz Czech Republic,,,,34783,Robert Lewandowski,4-4-1-1,Stephan Klossner,
2018-11-20,19:45 (14:45),UEFA Nations League,League A,Tue,Away,D,1,1,pt Portugal,,,,29917,Kamil Grosicki,4-2-3-1,Sergey Karasev,
2017-03-26,20:45 (14:45),WCQ,First round,Sun,Away,W,2,1,me Montenegro,,,,10439,Robert Lewandowski,4-3-2-1,Viktor Kassai,
2017-06-10,20:45 (14:45),WCQ,First round,Sat,Home,W,3,1,ro Romania,,,,57128,Robert Lewandowski,4-4-2,Ruddy Buquet,
2017-09-01,20:45 (14:45),WCQ,First round,Fri,Away,L,0,4,dk Denmark,,,,34505,Robert Lewandowski,4-4-1-1,Milorad Mažić,
2017-09-04,20:45 (14:45),WCQ,First round,Mon,Home,W,3,0,kz Kazakhstan,,,,56963,Robert Lewandowski,4-4-2,Andris Treimanis,
2017-10-05,20:00 (12:00),WCQ,First round,Thu,Away,W,6,1,am Armenia,,,,5478,Robert Lewandowski,4-2-3-1,Matej Jug,
2017-10-08,18:00 (12:00),WCQ,First round,Sun,Home,W,4,2,me Montenegro,,,,57538,Robert Lewandowski,4-4-1-1,Daniele Orsato,
2017-11-10,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,D,0,0,uy Uruguay,,,,56147,Artur Boruc,3-4-3,István Vad II,
2017-11-13,20:45 (14:45),Friendlies (M),Friendlies (M),Mon,Home,L,0,1,mx Mexico,,,,,Wojciech Szczęsny,3-4-3,Oliver Drachta,
2014-09-07,19:45 (14:45),Euro Qualifying,Group stage,Sun,Away,W,7,0,gi Gibraltar,,,66,3000,Robert Lewandowski,4-4-2,Stefan Johannesson,
2014-10-11,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,2,0,de Germany,,,38,56934,Robert Lewandowski,4-2-2-2,Pedro Proença,
2014-10-14,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,D,2,2,sct Scotland,,,46,55197,Robert Lewandowski,4-4-2,Alberto Undiano,
2014-11-14,21:00 (12:00),Euro Qualifying,Group stage,Fri,Away,W,4,0,ge Georgia,,,55,18000,Robert Lewandowski,4-4-1-1,Paolo Tagliavento,
2015-03-29,19:45 (14:45),Euro Qualifying,Group stage,Sun,Away,D,1,1,ie Rep. of Ireland,,,45,50500,Robert Lewandowski,4-4-2,Jonas Eriksson,
2015-06-13,18:00 (12:00),Euro Qualifying,Group stage,Sat,Home,W,4,0,ge Georgia,,,47,56512,Robert Lewandowski,4-2-2-2,Aliaksei Kulbakou,
2015-09-04,20:45 (14:45),Euro Qualifying,Group stage,Fri,Away,L,1,3,de Germany,,,29,48500,Robert Lewandowski,4-4-2,Nicola Rizzoli,
2015-09-07,20:45 (14:45),Euro Qualifying,Group stage,Mon,Home,W,8,1,gi Gibraltar,,,66,27763,Robert Lewandowski,4-4-2,Gediminas Mažeika,
2015-10-08,19:45 (14:45),Euro Qualifying,Group stage,Thu,Away,D,2,2,sct Scotland,,,58,49359,Robert Lewandowski,4-4-1-1,Viktor Kassai,
2015-10-11,20:45 (14:45),Euro Qualifying,Group stage,Sun,Home,W,2,1,ie Rep. of Ireland,,,55,57497,Robert Lewandowski,4-2-3-1,Cüneyt Çakιr,
2016-03-23,20:45 (15:45),Friendlies (M),Friendlies (M),Wed,Home,W,1,0,rs Serbia,,,,38271,Robert Lewandowski,4-2-2-2,Alexander Harkam,
2016-03-26,17:30 (12:30),Friendlies (M),Friendlies (M),Sat,Home,W,5,0,fi Finland,,,,42068,Kamil Glik,4-2-3-1,Hiroyuki Kimura,
2016-06-01,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,L,1,2,nl Netherlands,,,,40392,Robert Lewandowski,4-1-3-2,Miroslav Zelinka,
2016-06-06,18:00 (12:00),Friendlies (M),Friendlies (M),Mon,Home,D,0,0,lt Lithuania,,,,33027,Kamil Glik,4-2-3-1,Filip Glova,
2016-06-12,18:00 (12:00),UEFA Euro,Group stage,Sun,Neutral,W,1,0,nir Northern Ireland,,,65,33742,Robert Lewandowski,4-4-1-1,Ovidiu Hațegan,
2016-06-16,21:00 (15:00),UEFA Euro,Group stage,Thu,Neutral,D,0,0,de Germany,,,37,73648,Robert Lewandowski,4-4-2,Björn Kuipers,
2016-06-21,18:00 (12:00),UEFA Euro,Group stage,Tue,Neutral,W,1,0,ua Ukraine,,,34,58874,Robert Lewandowski,4-4-2,Svein Oddvar Moen,
2016-06-25,15:00 (09:00),UEFA Euro,Round of 16,Sat,Neutral,D,1 (5),1 (4),ch Switzerland,,,44,38842,Robert Lewandowski,4-4-2,Mark Clattenburg,
2016-06-30,21:00 (15:00),UEFA Euro,Quarter-finals,Thu,Neutral,D,1 (3),1 (5),pt Portugal,,,52,62940,Robert Lewandowski,4-4-1-1,Felix Brych,
2016-09-04,22:00 (12:00),WCQ,First round,Sun,Away,D,2,2,kz Kazakhstan,,,,19905,Robert Lewandowski,4-4-2,Serdar Gözübüyük,
2016-10-08,20:45 (14:45),WCQ,First round,Sat,Home,W,3,2,dk Denmark,,,,56811,Robert Lewandowski,4-4-2,Gianluca Rocchi,
2016-10-11,20:45 (14:45),WCQ,First round,Tue,Home,W,2,1,am Armenia,,,,44786,Robert Lewandowski,4-2-2-2,Ivan Kružliak,
2016-11-11,21:45 (14:45),WCQ,First round,Fri,Away,W,3,0,ro Romania,,,,48531,Robert Lewandowski,4-1-4-1,Damir Skomina,
2016-11-14,20:45 (14:45),Friendlies (M),Friendlies (M),Mon,Home,D,1,1,si Slovenia,,,,40119,Grzegorz Krychowiak,4-2-3-1,Björn Kuipers,
2015-03-29,19:45 (14:45),Euro Qualifying,Group stage,Sun,Away,D,1,1,ie Rep. of Ireland,,,45,50500,Robert Lewandowski,4-4-2,Jonas Eriksson,
2015-06-13,18:00 (12:00),Euro Qualifying,Group stage,Sat,Home,W,4,0,ge Georgia,,,47,56512,Robert Lewandowski,4-2-2-2,Aliaksei Kulbakou,
2015-06-16,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,D,0,0,gr Greece,,,,37192,,,Alain Bieri,
2015-09-04,20:45 (14:45),Euro Qualifying,Group stage,Fri,Away,L,1,3,de Germany,,,29,48500,Robert Lewandowski,4-4-2,Nicola Rizzoli,
2015-09-07,20:45 (14:45),Euro Qualifying,Group stage,Mon,Home,W,8,1,gi Gibraltar,,,66,27763,Robert Lewandowski,4-4-2,Gediminas Mažeika,
2015-10-08,19:45 (14:45),Euro Qualifying,Group stage,Thu,Away,D,2,2,sct Scotland,,,58,49359,Robert Lewandowski,4-4-1-1,Viktor Kassai,
2015-10-11,20:45 (14:45),Euro Qualifying,Group stage,Sun,Home,W,2,1,ie Rep. of Ireland,,,55,57497,Robert Lewandowski,4-2-3-1,Cüneyt Çakιr,
2015-11-13,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,W,4,2,is Iceland,,,,56207,,,Padraigh Sutton,
2015-11-17,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,W,3,1,cz Czech Republic,,,,40793,,,Sándor Andó-Szabó,
2012-09-07,20:30 (14:30),WCQ,First round,Fri,Away,D,2,2,me Montenegro,,,,11420,Jakub Błaszczykowski,,Kristinn Jakobsson,
2012-09-11,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,md Moldova,,,,26145,Jakub Błaszczykowski,,Ilias Spathas,
2012-10-17,17:00 (11:00),WCQ,First round,Wed,Home,D,1,1,eng England,,,,47000,Marcin Wasilewski,,Gianluca Rocchi,
2013-03-22,20:45 (15:45),WCQ,First round,Fri,Home,L,1,3,ua Ukraine,,,,55565,Jakub Błaszczykowski,,Pavel Královec,
2013-03-26,20:45 (15:45),WCQ,First round,Tue,Home,W,5,0,sm San Marino,,,,43008,Adrian Mierzejewski,,Ken Henry Johnsen,
2013-06-07,21:15 (14:15),WCQ,First round,Fri,Away,D,1,1,md Moldova,,,,8726,Jakub Błaszczykowski,,Fernando Teixeira,
2013-09-06,20:45 (14:45),WCQ,First round,Fri,Home,D,1,1,me Montenegro,,,,45652,Jakub Błaszczykowski,,Björn Kuipers,
2013-09-10,20:45 (14:45),WCQ,First round,Tue,Away,W,5,1,sm San Marino,,,,1597,Jakub Błaszczykowski,,Marco Borg,
2013-10-11,21:00 (14:00),WCQ,First round,Fri,Away,L,0,1,ua Ukraine,,,,39136,Jakub Błaszczykowski,,Jonas Eriksson,
2013-10-15,20:00 (15:00),WCQ,First round,Tue,Away,L,0,2,eng England,,,,85186,Jakub Błaszczykowski,,Damir Skomina,
2014-01-18,18:00 (09:00),Friendlies (M),Friendlies (M),Sat,Neutral,W,3,0,no Norway,,,,250,Jakub Wawrzyniak,4-2-3-1,Rami Al Kaabi,
2014-01-20,20:15 (11:15),Friendlies (M),Friendlies (M),Mon,Neutral,W,1,0,md Moldova,,,,200,,4-2-3-1,Saleh Al Hathlool,
2014-03-05,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,L,0,1,sct Scotland,,,,41652,Łukasz Piszczek,4-1-4-1,Alain Bieri,
2014-05-13,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Away,D,0,0,de Germany,,,,37569,Artur Boruc,4-2-3-1,David Fernández,
2014-06-06,17:30 (11:30),Friendlies (M),Friendlies (M),Fri,Home,W,2,1,lt Lithuania,,,,,,,,
2014-09-07,19:45 (14:45),Euro Qualifying,Group stage,Sun,Away,W,7,0,gi Gibraltar,,,66,3000,Robert Lewandowski,4-4-2,Stefan Johannesson,
2014-10-11,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,2,0,de Germany,,,38,56934,Robert Lewandowski,4-2-2-2,Pedro Proença,
2014-10-14,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,D,2,2,sct Scotland,,,46,55197,Robert Lewandowski,4-4-2,Alberto Undiano,
2014-11-14,21:00 (12:00),Euro Qualifying,Group stage,Fri,Away,W,4,0,ge Georgia,,,55,18000,Robert Lewandowski,4-4-1-1,Paolo Tagliavento,
2014-11-18,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,D,2,2,ch Switzerland,,,,40133,Robert Lewandowski,4-2-3-1,Kristinn Jakobsson,
2012-06-08,18:00 (12:00),UEFA Euro,Group stage,Fri,Home,D,1,1,gr Greece,,,,56070,Jakub Błaszczykowski,,Carlos Velasco,
2012-06-12,20:45 (14:45),UEFA Euro,Group stage,Tue,Home,D,1,1,ru Russia,,,,55920,Jakub Błaszczykowski,,Wolfgang Stark,
2012-06-16,20:45 (14:45),UEFA Euro,Group stage,Sat,Away,L,0,1,cz Czech Republic,,,,41480,Przemysław Tytoń,,Craig Thomson,
2012-09-07,20:30 (14:30),WCQ,First round,Fri,Away,D,2,2,me Montenegro,,,,11420,Jakub Błaszczykowski,,Kristinn Jakobsson,
2012-09-11,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,md Moldova,,,,26145,Jakub Błaszczykowski,,Ilias Spathas,
2012-10-17,17:00 (11:00),WCQ,First round,Wed,Home,D,1,1,eng England,,,,47000,Marcin Wasilewski,,Gianluca Rocchi,
2008-09-06,17:00 (11:00),WCQ,First round,Sat,Home,D,1,1,si Slovenia,,,,7300,Marcin Wasilewski,,Kristinn Jakobsson,Match Report
2008-09-10,20:30 (14:30),WCQ,First round,Wed,Away,W,2,0,sm San Marino,,,,2374,Michał Żewłakow,,Christoforos Zografos,Match Report
2008-10-11,20:30 (14:30),WCQ,First round,Sat,Home,W,2,1,cz Czech Republic,,,,38293,Artur Boruc,,Wolfgang Stark,Match Report
2008-10-15,20:30 (14:30),WCQ,First round,Wed,Away,L,1,2,sk Slovakia,,,,17650,Michał Żewłakow,,Bertrand Layec,Match Report
2009-03-28,17:15 (13:15),WCQ,First round,Sat,Away,L,2,3,nir Northern Ireland,,,,13357,Michał Żewłakow,,Martin Hansson,Match Report
2009-04-01,20:30 (14:30),WCQ,First round,Wed,Home,W,10,0,sm San Marino,,,,15200,Mariusz Lewandowski,,Aliaksei Kulbakou,Match Report
2009-09-05,20:30 (14:30),WCQ,First round,Sat,Home,D,1,1,nir Northern Ireland,,,,38914,,,Manuel Mejuto,Match Report
2009-09-09,20:45 (14:45),WCQ,First round,Wed,Away,L,0,3,si Slovenia,,,,10226,Artur Boruc,,William Collum,Match Report
2009-10-10,20:30 (14:30),WCQ,First round,Sat,Away,L,0,2,cz Czech Republic,,,,14010,Mariusz Lewandowski,,Claus Bo Larsen,Match Report
2009-10-14,20:30 (14:30),WCQ,First round,Wed,Home,L,0,1,sk Slovakia,,,,5000,Mariusz Lewandowski,,Jonas Eriksson,Match Report
